time,hs,swe_obs
2018-11-01,0.07,
2018-11-02,0.02,
2018-11-03,0.0,
2018-11-04,0.0,
2018-11-05,0.0,
2018-11-06,0.0,
2018-11-07,0.0,
2018-11-08,0.0,
2018-11-09,0.0,
2018-11-10,0.0,
2018-11-11,0.0,
2018-11-12,0.0,
2018-11-13,0.0,
2018-11-14,0.0,
2018-11-15,0.0,
2018-11-16,0.0,
2018-11-17,0.0,
2018-11-18,0.0,
2018-11-19,0.01,
2018-11-20,0.02,
2018-11-21,0.0,
2018-11-22,0.01,
2018-11-23,0.0,
2018-11-24,0.0,
2018-11-25,0.0,
2018-11-26,0.0,
2018-11-27,0.03,
2018-11-28,0.08,
2018-11-29,0.05,
2018-11-30,0.02,
2018-12-01,0.05,
2018-12-02,0.03,
2018-12-03,0.02,
2018-12-04,0.0,
2018-12-05,0.03,
2018-12-06,0.01,
2018-12-07,0.0,
2018-12-08,0.02,
2018-12-09,0.03,
2018-12-10,0.4,
2018-12-11,0.51,
2018-12-12,0.48,
2018-12-13,0.4,
2018-12-14,0.39,
2018-12-15,0.38,
2018-12-16,0.38,
2018-12-17,0.32,
2018-12-18,0.31,
2018-12-19,0.31,
2018-12-20,0.32,
2018-12-21,0.31,
2018-12-22,0.35,
2018-12-23,0.3,
2018-12-24,0.29,
2018-12-25,0.41,
2018-12-26,0.4,
2018-12-27,0.39,
2018-12-28,0.39,
2018-12-29,0.39,
2018-12-30,0.38,
2018-12-31,0.41,
2019-01-01,0.42,
2019-01-02,0.46,
2019-01-03,0.52,
2019-01-04,0.5,
2019-01-05,0.5,
2019-01-06,0.72,
2019-01-07,0.7,157.0
2019-01-08,0.69,
2019-01-09,0.86,
2019-01-10,0.85,
2019-01-11,0.81,
2019-01-12,0.9,
2019-01-13,0.99,
2019-01-14,1.37,
2019-01-15,1.4,
2019-01-16,1.37,365.0
2019-01-17,1.28,
2019-01-18,1.22,
2019-01-19,1.2,
2019-01-20,1.19,
2019-01-21,1.18,
2019-01-22,1.12,
2019-01-23,1.12,
2019-01-24,1.1,
2019-01-25,1.1,
2019-01-26,1.11,
2019-01-27,1.09,
2019-01-28,1.05,
2019-01-29,1.1,
2019-01-30,1.1,
2019-01-31,1.08,
2019-02-01,1.07,362.0
2019-02-02,1.2,
2019-02-03,1.1,
2019-02-04,1.11,
2019-02-05,1.1,
2019-02-06,1.1,
2019-02-07,1.1,
2019-02-08,1.1,
2019-02-09,1.09,
2019-02-10,1.08,
2019-02-11,1.18,
2019-02-12,1.29,
2019-02-13,1.22,
2019-02-14,1.21,
2019-02-15,1.2,
2019-02-16,1.17,
2019-02-17,1.18,
2019-02-18,1.17,429.0
2019-02-19,1.16,
2019-02-20,1.16,
2019-02-21,1.14,
2019-02-22,1.11,
2019-02-23,1.09,
2019-02-24,1.09,
2019-02-25,1.07,
2019-02-26,1.05,
2019-02-27,1.05,
2019-02-28,1.01,410.0
2019-03-01,0.99,
2019-03-02,1.03,
2019-03-03,1.0,
2019-03-04,0.99,
2019-03-05,1.0,
2019-03-06,1.0,
2019-03-07,0.99,
2019-03-08,0.99,
2019-03-09,1.0,
2019-03-10,0.98,
2019-03-11,1.0,
2019-03-12,1.17,
2019-03-13,1.19,
2019-03-14,1.1,
2019-03-15,1.3,
2019-03-16,1.52,
2019-03-17,1.3,
2019-03-18,1.28,477.0
2019-03-19,1.24,
2019-03-20,1.2,
2019-03-21,1.19,
2019-03-22,1.18,
2019-03-23,1.18,
2019-03-24,1.12,
2019-03-25,1.08,
2019-03-26,1.09,
2019-03-27,1.08,
2019-03-28,1.08,
2019-03-29,1.05,
2019-03-30,1.05,
2019-03-31,1.02,
2019-04-01,1.0,440.0
2019-04-02,0.98,
2019-04-03,0.92,
2019-04-04,0.9,
2019-04-05,1.08,
2019-04-06,0.99,
2019-04-07,0.9,
2019-04-08,0.89,
2019-04-09,0.88,
2019-04-10,0.84,
2019-04-11,0.8,
2019-04-12,0.79,
2019-04-13,0.77,
2019-04-14,0.78,
2019-04-15,0.8,325.0
2019-04-16,0.73,
2019-04-17,0.69,
2019-04-18,0.62,
2019-04-19,0.62,
2019-04-20,0.57,
2019-04-21,0.45,
2019-04-22,0.42,
2019-04-23,0.38,
2019-04-24,0.32,
2019-04-25,0.25,
2019-04-26,0.15,
2019-04-27,0.2,
2019-04-28,0.19,
2019-04-29,0.12,
2019-04-30,0.1,
