time,hs,swe_obs
2020-11-01,0.0,
2020-11-02,0.0,
2020-11-03,0.0,
2020-11-04,0.0,
2020-11-05,0.0,
2020-11-06,0.0,
2020-11-07,0.0,
2020-11-08,0.0,
2020-11-09,0.0,
2020-11-10,0.0,
2020-11-11,0.0,
2020-11-12,0.0,
2020-11-13,0.0,
2020-11-14,0.0,
2020-11-15,0.0,
2020-11-16,0.0,
2020-11-17,0.0,
2020-11-18,0.0,
2020-11-19,0.0,
2020-11-20,0.0,
2020-11-21,0.0,
2020-11-22,0.0,
2020-11-23,0.0,
2020-11-24,0.0,
2020-11-25,0.0,
2020-11-26,0.0,
2020-11-27,0.0,
2020-11-28,0.0,
2020-11-29,0.0,
2020-11-30,0.0,
2020-12-01,0.0,
2020-12-02,0.03,
2020-12-03,0.05,
2020-12-04,0.05,
2020-12-05,0.44,
2020-12-06,0.95,
2020-12-07,0.85,
2020-12-08,0.9,
2020-12-09,0.8,
2020-12-10,0.77,
2020-12-11,0.73,
2020-12-12,0.7,
2020-12-13,0.73,
2020-12-14,0.68,
2020-12-15,0.65,
2020-12-16,0.6,
2020-12-17,0.55,118.0
2020-12-18,0.55,
2020-12-19,0.54,
2020-12-20,0.53,
2020-12-21,0.53,
2020-12-22,0.57,
2020-12-23,0.55,
2020-12-24,0.54,
2020-12-25,0.51,
2020-12-26,0.51,
2020-12-27,0.51,
2020-12-28,0.51,
2020-12-29,0.52,
2020-12-30,0.52,
2020-12-31,0.52,
2021-01-01,0.51,130.0
2021-01-02,0.5,
2021-01-03,0.54,
2021-01-04,0.59,
2021-01-05,0.57,
2021-01-06,0.56,
2021-01-07,0.57,
2021-01-08,0.56,
2021-01-09,0.55,
2021-01-10,0.55,
2021-01-11,0.55,
2021-01-12,0.55,
2021-01-13,0.94,
2021-01-14,1.25,
2021-01-15,1.47,
2021-01-16,1.35,248.0
2021-01-17,1.3,
2021-01-18,1.35,
2021-01-19,1.3,
2021-01-20,1.25,
2021-01-21,1.2,
2021-01-22,1.15,
2021-01-23,1.24,
2021-01-24,1.23,
2021-01-25,1.27,
2021-01-26,1.36,
2021-01-27,1.29,
2021-01-28,2.0,
2021-01-29,1.93,
2021-01-30,1.9,429.0
2021-01-31,1.8,
2021-02-01,1.75,
2021-02-02,1.85,
2021-02-03,1.68,
2021-02-04,1.55,
2021-02-05,1.52,
2021-02-06,1.5,
2021-02-07,1.45,
2021-02-08,1.47,
2021-02-09,1.42,
2021-02-10,1.4,
2021-02-11,1.45,
2021-02-12,1.41,
2021-02-13,1.4,
2021-02-14,1.4,479.0
2021-02-15,1.39,
2021-02-16,1.38,
2021-02-17,1.33,
2021-02-18,1.3,
2021-02-19,1.29,
2021-02-20,1.28,
2021-02-21,1.26,
2021-02-22,1.25,
2021-02-23,1.23,
2021-02-24,1.21,
2021-02-25,1.2,
2021-02-26,1.17,
2021-02-27,1.15,
2021-02-28,1.14,471.0
2021-03-01,1.14,
2021-03-02,1.13,
2021-03-03,1.11,
2021-03-04,1.1,
2021-03-05,1.09,
2021-03-06,1.08,
2021-03-07,1.08,
2021-03-08,1.07,
2021-03-09,1.05,
2021-03-10,1.05,
2021-03-11,1.04,
2021-03-12,1.03,
2021-03-13,1.02,
2021-03-14,1.06,
2021-03-15,1.22,434.0
2021-03-16,1.65,
2021-03-17,1.55,
2021-03-18,1.51,
2021-03-19,1.45,
2021-03-20,1.43,
2021-03-21,1.4,
2021-03-22,1.35,
2021-03-23,1.32,
2021-03-24,1.28,
2021-03-25,1.2,
2021-03-26,1.15,
2021-03-27,1.1,
2021-03-28,1.08,
2021-03-29,1.07,
2021-03-30,1.05,
2021-03-31,1.02,455.0
2021-04-01,0.98,
2021-04-02,0.92,
2021-04-03,0.88,
2021-04-04,0.82,
2021-04-05,0.8,
2021-04-06,0.76,
2021-04-07,0.79,
2021-04-08,0.76,
2021-04-09,0.75,
2021-04-10,0.7,
2021-04-11,0.67,
2021-04-12,0.65,
2021-04-13,0.63,
2021-04-14,0.62,
2021-04-15,0.6,300.0
2021-04-16,0.59,
2021-04-17,0.56,
2021-04-18,0.53,
2021-04-19,0.47,
2021-04-20,0.43,
2021-04-21,0.4,
2021-04-22,0.34,
2021-04-23,0.28,
2021-04-24,0.23,
2021-04-25,0.18,
2021-04-26,0.12,
2021-04-27,0.06,
2021-04-28,0.0,
2021-04-29,0.0,
2021-04-30,0.0,
