time,hs,swe_obs
2016-11-01,0.0,
2016-11-02,0.0,
2016-11-03,0.0,
2016-11-04,0.0,
2016-11-05,0.0,
2016-11-06,0.02,
2016-11-07,0.05,
2016-11-08,0.09,
2016-11-09,0.07,
2016-11-10,0.16,
2016-11-11,0.15,
2016-11-12,0.32,
2016-11-13,0.3,
2016-11-14,0.25,
2016-11-15,0.21,
2016-11-16,0.21,
2016-11-17,0.18,
2016-11-18,0.13,
2016-11-19,0.07,
2016-11-20,0.08,
2016-11-21,0.05,
2016-11-22,0.0,
2016-11-23,0.0,
2016-11-24,0.0,
2016-11-25,0.0,
2016-11-26,0.0,
2016-11-27,0.0,
2016-11-28,0.0,
2016-11-29,0.0,
2016-11-30,0.0,
2016-12-01,0.0,
2016-12-02,0.0,
2016-12-03,0.0,
2016-12-04,0.0,
2016-12-05,0.0,
2016-12-06,0.0,
2016-12-07,0.0,
2016-12-08,0.0,
2016-12-09,0.0,
2016-12-10,0.0,
2016-12-11,0.0,
2016-12-12,0.0,
2016-12-13,0.0,
2016-12-14,0.0,
2016-12-15,0.0,
2016-12-16,0.0,
2016-12-17,0.0,
2016-12-18,0.0,
2016-12-19,0.01,
2016-12-20,0.01,
2016-12-21,0.01,
2016-12-22,0.01,
2016-12-23,0.0,
2016-12-24,0.0,
2016-12-25,0.0,
2016-12-26,0.0,
2016-12-27,0.0,
2016-12-28,0.0,
2016-12-29,0.0,
2016-12-30,0.0,
2016-12-31,0.0,
2017-01-01,0.0,
2017-01-02,0.0,
2017-01-03,0.02,
2017-01-04,0.01,
2017-01-05,0.1,
2017-01-06,0.11,
2017-01-07,0.08,
2017-01-08,0.2,
2017-01-09,0.18,
2017-01-10,0.17,
2017-01-11,0.26,
2017-01-12,0.22,
2017-01-13,0.25,
2017-01-14,0.48,
2017-01-15,0.5,
2017-01-16,0.45,64.0
2017-01-17,0.42,
2017-01-18,0.41,
2017-01-19,0.38,
2017-01-20,0.37,
2017-01-21,0.36,
2017-01-22,0.35,
2017-01-23,0.35,
2017-01-24,0.34,
2017-01-25,0.34,
2017-01-26,0.34,
2017-01-27,0.34,
2017-01-28,0.33,
2017-01-29,0.32,
2017-01-30,0.32,
2017-01-31,0.3,65.0
2017-02-01,0.25,
2017-02-02,0.25,
2017-02-03,0.24,
2017-02-04,0.24,
2017-02-05,0.28,
2017-02-06,0.54,
2017-02-07,0.48,
2017-02-08,0.51,
2017-02-09,0.52,
2017-02-10,0.5,
2017-02-11,0.49,
2017-02-12,0.48,
2017-02-13,0.48,
2017-02-14,0.47,
2017-02-15,0.47,
2017-02-16,0.47,112.0
2017-02-17,0.46,
2017-02-18,0.45,
2017-02-19,0.45,
2017-02-20,0.45,
2017-02-21,0.45,
2017-02-22,0.43,
2017-02-23,0.43,
2017-02-24,0.42,
2017-02-25,0.5,
2017-02-26,0.47,
2017-02-27,0.45,
2017-02-28,0.46,140.0
2017-03-01,0.58,
2017-03-02,0.51,
2017-03-03,0.5,
2017-03-04,0.45,
2017-03-05,0.46,
2017-03-06,0.63,
2017-03-07,0.85,
2017-03-08,0.81,
2017-03-09,0.7,
2017-03-10,0.6,
2017-03-11,0.59,
2017-03-12,0.59,
2017-03-13,0.58,
2017-03-14,0.58,
2017-03-15,0.57,
2017-03-16,0.56,190.0
2017-03-17,0.55,
2017-03-18,0.52,
2017-03-19,0.5,
2017-03-20,0.49,
2017-03-21,0.48,
2017-03-22,0.45,
2017-03-23,0.41,
2017-03-24,0.4,
2017-03-25,0.37,
2017-03-26,0.33,
2017-03-27,0.29,
2017-03-28,0.27,
2017-03-29,0.22,
2017-03-30,0.18,
2017-03-31,0.13,76.0
2017-04-01,0.07,
2017-04-02,0.03,
2017-04-03,0.0,
2017-04-04,0.0,
2017-04-05,0.0,
2017-04-06,0.0,
2017-04-07,0.0,
2017-04-08,0.0,
2017-04-09,0.0,
2017-04-10,0.0,
2017-04-11,0.0,
2017-04-12,0.0,
2017-04-13,0.0,
2017-04-14,0.0,
2017-04-15,0.0,
2017-04-16,0.0,
2017-04-17,0.0,
2017-04-18,0.01,
2017-04-19,0.01,
2017-04-20,0.01,
2017-04-21,0.0,
2017-04-22,0.0,
2017-04-23,0.0,
2017-04-24,0.0,
2017-04-25,0.0,
2017-04-26,0.0,
2017-04-27,0.01,
2017-04-28,0.15,
2017-04-29,0.05,
2017-04-30,0.0,
