date,hs,swe_obs
2016-09-01,0.0,
2016-09-02,0.0,
2016-09-03,0.0,
2016-09-04,0.0,
2016-09-05,0.0,
2016-09-06,0.0,
2016-09-07,0.0,
2016-09-08,0.0,
2016-09-09,0.0,
2016-09-10,0.0,
2016-09-11,0.0,
2016-09-12,0.0,
2016-09-13,0.0,
2016-09-14,0.0,
2016-09-15,0.0,
2016-09-16,0.0,
2016-09-17,0.0,
2016-09-18,0.0,
2016-09-19,0.0,
2016-09-20,0.0,
2016-09-21,0.0,
2016-09-22,0.0,
2016-09-23,0.0,
2016-09-24,0.0,
2016-09-25,0.0,
2016-09-26,0.0,
2016-09-27,0.0,
2016-09-28,0.0,
2016-09-29,0.0,
2016-09-30,0.0,
2016-10-01,0.0,
2016-10-02,0.0,
2016-10-03,0.0,
2016-10-04,0.0,
2016-10-05,0.0,
2016-10-06,0.0,
2016-10-07,0.0,
2016-10-08,0.0,
2016-10-09,0.0,
2016-10-10,6.0,
2016-10-11,0.0,
2016-10-12,0.0,
2016-10-13,0.0,
2016-10-14,0.0,
2016-10-15,0.0,
2016-10-16,0.0,
2016-10-17,0.0,
2016-10-18,0.0,
2016-10-19,0.0,
2016-10-20,0.0,
2016-10-21,0.0,
2016-10-22,0.0,
2016-10-23,0.0,
2016-10-24,0.0,
2016-10-25,0.0,
2016-10-26,0.0,
2016-10-27,0.0,
2016-10-28,0.0,
2016-10-29,0.0,
2016-10-30,0.0,
2016-10-31,0.0,
2016-11-01,0.0,
2016-11-02,0.0,
2016-11-03,0.0,
2016-11-04,0.0,
2016-11-05,1.0,
2016-11-06,0.0,
2016-11-07,21.0,
2016-11-08,19.0,
2016-11-09,15.0,
2016-11-10,15.0,
2016-11-11,15.0,
2016-11-12,20.0,
2016-11-13,18.0,
2016-11-14,15.0,
2016-11-15,15.0,
2016-11-16,13.0,
2016-11-17,12.0,
2016-11-18,8.0,
2016-11-19,5.0,
2016-11-20,3.0,
2016-11-21,3.0,
2016-11-22,0.0,
2016-11-23,0.0,
2016-11-24,0.0,
2016-11-25,0.0,
2016-11-26,0.0,
2016-11-27,0.0,
2016-11-28,0.0,
2016-11-29,0.0,
2016-11-30,0.0,
2016-12-01,0.0,
2016-12-02,0.0,
2016-12-03,0.0,
2016-12-04,0.0,
2016-12-05,0.0,
2016-12-06,0.0,
2016-12-07,0.0,
2016-12-08,0.0,
2016-12-09,0.0,
2016-12-10,0.0,
2016-12-11,0.0,
2016-12-12,0.0,
2016-12-13,0.0,
2016-12-14,0.0,
2016-12-15,0.0,
2016-12-16,0.0,
2016-12-17,0.0,
2016-12-18,0.0,
2016-12-19,3.0,
2016-12-20,2.0,
2016-12-21,2.0,
2016-12-22,0.0,
2016-12-23,0.0,
2016-12-24,0.0,
2016-12-25,1.0,
2016-12-26,0.0,
2016-12-27,0.0,
2016-12-28,0.0,
2016-12-29,0.0,
2016-12-30,0.0,
2016-12-31,0.0,
2017-01-01,0.0,
2017-01-02,0.0,
2017-01-03,0.0,
2017-01-04,0.0,
2017-01-05,6.0,
2017-01-06,8.0,
2017-01-07,7.000000000000001,
2017-01-08,11.0,
2017-01-09,10.0,
2017-01-10,9.0,
2017-01-11,9.0,
2017-01-12,8.0,
2017-01-13,12.0,
2017-01-14,18.0,
2017-01-15,20.0,
2017-01-16,18.0,
2017-01-17,18.0,
2017-01-18,17.0,
2017-01-19,16.0,
2017-01-20,16.0,
2017-01-21,16.0,
2017-01-22,15.0,
2017-01-23,15.0,
2017-01-24,15.0,
2017-01-25,15.0,
2017-01-26,15.0,
2017-01-27,15.0,
2017-01-28,15.0,
2017-01-29,15.0,
2017-01-30,15.0,
2017-01-31,19.0,
2017-02-01,41.0,
2017-02-02,35.0,
2017-02-03,35.0,
2017-02-04,33.0,
2017-02-05,35.0,
2017-02-06,46.0,
2017-02-07,42.0,
2017-02-08,39.0,
2017-02-09,38.0,
2017-02-10,37.0,
2017-02-11,42.0,
2017-02-12,37.0,
2017-02-13,36.0,
2017-02-14,36.0,
2017-02-15,35.0,67.0
2017-02-16,34.0,
2017-02-17,33.0,
2017-02-18,34.0,
2017-02-19,34.0,
2017-02-20,34.0,
2017-02-21,33.0,
2017-02-22,28.999999999999996,
2017-02-23,25.0,
2017-02-24,23.0,
2017-02-25,25.0,
2017-02-26,23.0,
2017-02-27,23.0,
2017-02-28,23.0,67.0
2017-03-01,41.0,
2017-03-02,37.0,
2017-03-03,30.0,
2017-03-04,30.0,
2017-03-05,36.0,
2017-03-06,35.0,
2017-03-07,37.0,
2017-03-08,36.0,
2017-03-09,40.0,
2017-03-10,38.0,
2017-03-11,35.0,
2017-03-12,34.0,
2017-03-13,33.0,
2017-03-14,32.0,
2017-03-15,30.0,104.0
2017-03-16,30.0,
2017-03-17,28.000000000000004,
2017-03-18,25.0,
2017-03-19,18.0,
2017-03-20,16.0,
2017-03-21,10.0,
2017-03-22,0.0,
2017-03-23,0.0,
2017-03-24,0.0,
2017-03-25,0.0,
2017-03-26,0.0,
2017-03-27,0.0,
2017-03-28,0.0,
2017-03-29,0.0,
2017-03-30,0.0,
2017-03-31,0.0,
2017-04-01,0.0,
2017-04-02,0.0,
2017-04-03,0.0,
2017-04-04,0.0,
2017-04-05,0.0,
2017-04-06,1.0,
2017-04-07,0.0,
2017-04-08,0.0,
2017-04-09,0.0,
2017-04-10,0.0,
2017-04-11,0.0,
2017-04-12,0.0,
2017-04-13,0.0,
2017-04-14,0.0,
2017-04-15,0.0,
2017-04-16,0.0,
2017-04-17,2.0,
2017-04-18,1.0,
2017-04-19,0.0,
2017-04-20,0.0,
2017-04-21,0.0,
2017-04-22,0.0,
2017-04-23,0.0,
2017-04-24,0.0,
2017-04-25,0.0,
2017-04-26,0.0,
2017-04-27,5.0,
2017-04-28,23.0,
2017-04-29,17.0,
2017-04-30,3.0,
2017-05-01,0.0,
2017-05-02,7.000000000000001,
2017-05-03,8.0,
2017-05-04,0.0,
2017-05-05,0.0,
2017-05-06,0.0,
2017-05-07,0.0,
2017-05-08,0.0,
2017-05-09,0.0,
2017-05-10,0.0,
2017-05-11,0.0,
2017-05-12,0.0,
2017-05-13,0.0,
2017-05-14,0.0,
2017-05-15,0.0,
2017-05-16,0.0,
2017-05-17,0.0,
2017-05-18,0.0,
2017-05-19,0.0,
2017-05-20,0.0,
2017-05-21,0.0,
2017-05-22,0.0,
2017-05-23,0.0,
2017-05-24,0.0,
2017-05-25,0.0,
2017-05-26,0.0,
2017-05-27,0.0,
2017-05-28,0.0,
2017-05-29,0.0,
2017-05-30,0.0,
2017-05-31,0.0,
2017-06-01,0.0,
2017-06-02,0.0,
2017-06-03,0.0,
2017-06-04,0.0,
2017-06-05,0.0,
2017-06-06,0.0,
2017-06-07,0.0,
2017-06-08,0.0,
2017-06-09,0.0,
2017-06-10,0.0,
2017-06-11,0.0,
2017-06-12,0.0,
2017-06-13,0.0,
2017-06-14,0.0,
2017-06-15,0.0,
