date,hs,swe_obs
2016-09-01,0.0,
2016-09-02,0.0,
2016-09-03,0.0,
2016-09-04,0.0,
2016-09-05,0.0,
2016-09-06,0.0,
2016-09-07,0.0,
2016-09-08,0.0,
2016-09-09,0.0,
2016-09-10,0.0,
2016-09-11,0.0,
2016-09-12,0.0,
2016-09-13,0.0,
2016-09-14,0.0,
2016-09-15,0.0,
2016-09-16,0.0,
2016-09-17,0.0,
2016-09-18,0.0,
2016-09-19,0.0,
2016-09-20,0.0,
2016-09-21,0.0,
2016-09-22,0.0,
2016-09-23,0.0,
2016-09-24,0.0,
2016-09-25,0.0,
2016-09-26,0.0,
2016-09-27,0.0,
2016-09-28,0.0,
2016-09-29,0.0,
2016-09-30,0.0,
2016-10-01,0.0,
2016-10-02,0.0,
2016-10-03,0.0,
2016-10-04,0.0,
2016-10-05,0.0,
2016-10-06,0.0,
2016-10-07,0.0,
2016-10-08,0.0,
2016-10-09,0.0,
2016-10-10,0.0,
2016-10-11,0.0,
2016-10-12,0.0,
2016-10-13,0.0,
2016-10-14,0.0,
2016-10-15,0.0,
2016-10-16,0.0,
2016-10-17,0.0,
2016-10-18,0.0,
2016-10-19,0.0,
2016-10-20,0.0,
2016-10-21,0.0,
2016-10-22,0.0,
2016-10-23,0.0,
2016-10-24,0.0,
2016-10-25,0.0,
2016-10-26,0.0,
2016-10-27,0.0,
2016-10-28,0.0,
2016-10-29,0.0,
2016-10-30,0.0,
2016-10-31,0.0,
2016-11-01,0.0,
2016-11-02,0.0,
2016-11-03,0.0,
2016-11-04,0.0,
2016-11-05,0.0,
2016-11-06,0.0,
2016-11-07,10.0,
2016-11-08,13.0,
2016-11-09,12.0,
2016-11-10,27.0,
2016-11-11,35.0,
2016-11-12,47.0,
2016-11-13,42.0,
2016-11-14,40.0,
2016-11-15,34.0,
2016-11-16,30.0,
2016-11-17,23.0,
2016-11-18,20.0,
2016-11-19,14.000000000000002,
2016-11-20,16.0,
2016-11-21,7.000000000000001,
2016-11-22,2.0,
2016-11-23,0.0,
2016-11-24,0.0,
2016-11-25,0.0,
2016-11-26,0.0,
2016-11-27,0.0,
2016-11-28,0.0,
2016-11-29,0.0,
2016-11-30,0.0,
2016-12-01,0.0,
2016-12-02,0.0,
2016-12-03,0.0,
2016-12-04,0.0,
2016-12-05,0.0,
2016-12-06,0.0,
2016-12-07,0.0,
2016-12-08,0.0,
2016-12-09,0.0,
2016-12-10,0.0,
2016-12-11,0.0,
2016-12-12,0.0,
2016-12-13,0.0,
2016-12-14,0.0,
2016-12-15,0.0,
2016-12-16,0.0,
2016-12-17,0.0,
2016-12-18,0.0,
2016-12-19,0.0,
2016-12-20,0.0,
2016-12-21,0.0,
2016-12-22,0.0,
2016-12-23,0.0,
2016-12-24,0.0,
2016-12-25,0.0,
2016-12-26,0.0,
2016-12-27,0.0,
2016-12-28,0.0,
2016-12-29,0.0,
2016-12-30,0.0,
2016-12-31,0.0,
2017-01-01,0.0,
2017-01-02,0.0,
2017-01-03,7.000000000000001,
2017-01-04,5.0,
2017-01-05,25.0,
2017-01-06,20.0,
2017-01-07,16.0,
2017-01-08,20.0,
2017-01-09,17.0,
2017-01-10,15.0,
2017-01-11,19.0,
2017-01-12,17.0,
2017-01-13,15.0,
2017-01-14,52.0,
2017-01-15,78.0,
2017-01-16,78.0,
2017-01-17,70.0,
2017-01-18,65.0,
2017-01-19,61.0,
2017-01-20,57.99999999999999,
2017-01-21,55.00000000000001,
2017-01-22,53.0,
2017-01-23,51.0,
2017-01-24,49.0,
2017-01-25,49.0,
2017-01-26,49.0,
2017-01-27,48.0,
2017-01-28,45.0,
2017-01-29,45.0,
2017-01-30,43.0,
2017-01-31,40.0,
2017-02-01,34.0,
2017-02-02,30.0,
2017-02-03,30.0,
2017-02-04,28.999999999999996,
2017-02-05,28.999999999999996,
2017-02-06,47.0,
2017-02-07,49.0,
2017-02-08,56.00000000000001,
2017-02-09,54.0,
2017-02-10,53.0,
2017-02-11,52.0,
2017-02-12,52.0,
2017-02-13,47.0,
2017-02-14,46.0,
2017-02-15,45.0,
2017-02-16,44.0,
2017-02-17,43.0,
2017-02-18,51.0,
2017-02-19,50.0,
2017-02-20,50.0,
2017-02-21,49.0,
2017-02-22,45.0,
2017-02-23,42.0,
2017-02-24,40.0,
2017-02-25,50.0,
2017-02-26,49.0,
2017-02-27,45.0,
2017-02-28,41.0,
2017-03-01,44.0,
2017-03-02,50.0,
2017-03-03,45.0,
2017-03-04,42.0,
2017-03-05,41.0,
2017-03-06,48.0,
2017-03-07,74.0,
2017-03-08,84.0,
2017-03-09,67.0,
2017-03-10,56.99999999999999,
2017-03-11,50.0,
2017-03-12,48.0,
2017-03-13,45.0,
2017-03-14,43.0,
2017-03-15,40.0,
2017-03-16,38.0,
2017-03-17,36.0,
2017-03-18,28.000000000000004,
2017-03-19,25.0,
2017-03-20,20.0,
2017-03-21,15.0,
2017-03-22,10.0,
2017-03-23,11.0,
2017-03-24,6.0,
2017-03-25,0.0,
2017-03-26,0.0,
2017-03-27,0.0,
2017-03-28,0.0,
2017-03-29,0.0,
2017-03-30,0.0,
2017-03-31,0.0,
2017-04-01,0.0,
2017-04-02,0.0,
2017-04-03,0.0,
2017-04-04,0.0,
2017-04-05,0.0,
2017-04-06,0.0,
2017-04-07,0.0,
2017-04-08,0.0,
2017-04-09,0.0,
2017-04-10,0.0,
2017-04-11,0.0,
2017-04-12,0.0,
2017-04-13,0.0,
2017-04-14,0.0,
2017-04-15,0.0,
2017-04-16,0.0,
2017-04-17,0.0,
2017-04-18,2.0,
2017-04-19,10.0,
2017-04-20,18.0,
2017-04-21,0.0,
2017-04-22,0.0,
2017-04-23,0.0,
2017-04-24,0.0,
2017-04-25,0.0,
2017-04-26,0.0,
2017-04-27,4.0,
2017-04-28,44.0,
2017-04-29,62.0,
2017-04-30,25.0,
2017-05-01,5.0,
2017-05-02,8.0,
2017-05-03,0.0,
2017-05-04,0.0,
2017-05-05,0.0,
2017-05-06,0.0,
2017-05-07,0.0,
2017-05-08,0.0,
2017-05-09,0.0,
2017-05-10,0.0,
2017-05-11,0.0,
2017-05-12,0.0,
2017-05-13,0.0,
2017-05-14,0.0,
2017-05-15,0.0,
2017-05-16,0.0,
2017-05-17,0.0,
2017-05-18,0.0,
2017-05-19,0.0,
2017-05-20,5.0,
2017-05-21,0.0,
2017-05-22,0.0,
2017-05-23,0.0,
2017-05-24,0.0,
2017-05-25,0.0,
2017-05-26,0.0,
2017-05-27,0.0,
2017-05-28,0.0,
2017-05-29,0.0,
2017-05-30,0.0,
2017-05-31,0.0,
2017-06-01,0.0,
2017-06-02,0.0,
2017-06-03,0.0,
2017-06-04,0.0,
2017-06-05,0.0,
2017-06-06,0.0,
2017-06-07,0.0,
2017-06-08,0.0,
2017-06-09,0.0,
2017-06-10,0.0,
2017-06-11,0.0,
2017-06-12,0.0,
2017-06-13,0.0,
2017-06-14,0.0,
